,Investigator,Number of Studies,Top Condition,Top Condition Count
20835,jennifer ho,1,covid-19,1.0
20836,cathrine paras,1,peripheral t-cell lymphoma,1.0
20837,ana maria huerta arroyo,1,diabetic kidney disease,1.0
20838,matthias kögel,1,her2-negative breast cancer,1.0
20839,melissa taylor,1,sickle cell disease,1.0
20840,rita balter,1,sickle cell disease,1.0
20841,silvia bozzarelli,1,pancreas ductal adenocarcinoma,1.0
20842,andrea tosti,1,covid19,1.0
20843,marcin ojrzanowski,1,nash - nonalcoholic steatohepatitis,1.0
20844,john david,1,stage i breast cancer,1.0
20845,carlo briguori,1,coronary artery disease,1.0
20846,manfred welslau,1,col1a1-pdgfb fusion protein expression,1.0
20847,ellen de langhe,1,"lupus erythematosus, systemic",1.0
20848,bruce cheson,1,chronic lymphocytic leukemia,1.0
20849,isabelle pin,1,cystic fibrosis,1.0
20850,peter schramm,1,pulmonary arterial hypertension,1.0
20851,adriana novais lopes monteiro soares,1,her2 positive breast cancer,1.0
20852,michael perry,1,lennox gastaut syndrome (lgs),1.0
20853,brenda porter,1,seizures,1.0
20854,cristina bono,1,urothelial carcinoma,1.0
20855,allen cohn,1,colorectal neoplasms,1.0
20856,sung-soo yoon,1,"leukemia, lymphocytic",1.0
20857,antonela iannazzo,1,interstitial lung disease,1.0
20858,avivit peer,1,neoplasm metastasis,1.0
20859,gabriel oniscu,1,liver transplant disorder,1.0
20860,diego franchini,1,intracranial hypertension,1.0
20861,matthew barrett,1,parkinson disease,1.0
20862,christopher ferris,1,celiac disease,1.0
20863,vital hevia,1,kidney cancer,1.0
20864,o bestard,1,kidney transplantation in highly sensitized patients,1.0
20865,michela buglione di monale e bastia,1,head and neck cancer,1.0
20866,christian primas,1,ulcerative colitis,1.0
20867,nadia harbeck,1,breast neoplasms,1.0
20868,pekka anttila,1,relapsed or refractory multiple myeloma,1.0
20869,adela-luiza chirila,1,metastatic breast cancer,1.0
20870,paul knobl,1,thrombotic thrombocytopenic purpura (ttp),1.0
20871,alida abbruzzese,1,chondrosarcoma,1.0
20872,giuseppa scandurra,1,metastatic renal cell carcinoma,1.0
20873,paolo gontenero,1,bladder cancer,1.0
20874,warren alexander,1,"carcinoma, non-small-cell lung",1.0
20875,fulvio borella,1,her2-negative breast cancer,1.0
20876,chao-hsiang chang,1,antineoplastic agents,1.0
20877,antonello giordano,1,ischemic stroke,1.0
20878,jan b. vermorken,1,head and neck cancer,1.0
20879,paul a. bunn,1,lung cancer,1.0
20880,gianfranco mazzocca,1,permanent atrial fibrillation,1.0
20881,r.l.m. bekkers,1,cancer,1.0
20882,roman shmakov,1,pregnancy,1.0
20883,max van noesel,1,childhood malignant fibrous histiocytoma of bone,1.0
20884,vernon louw,1,leukemia,1.0
20885,eugenio gallo,1,leukemia,1.0
20886,ruth chinchilla,1,myocardial infarction,1.0
20887,roberto dal negro,1,chronic obstructive pulmonary disease,1.0
20888,maria barbato,1,clinical and nutritional safety.,1.0
20889,ericka simpson,1,"muscular dystrophy, duchenne",1.0
20890,markus magerl,1,hereditary angioedema (hae),1.0
20891,luisa murer,1,chronic kidney disease,1.0
20892,aleksandra zurowska,1,chronic kidney disease,1.0
20893,frank zerbib,1,crohn's disease,1.0
20894,emilia gatto,1,huntington's disease,1.0
20895,lorelei tainsh,1,huntington's disease,1.0
20896,stinne veilstrup krøigård,1,huntington's disease,1.0
20897,chidini giovanna,1,acute respiratory failure with hypoxia,1.0
20898,francesco la canna,1,chronic kidney disease,1.0
20899,helen j. ross,1,alk gene rearrangement,1.0
20900,jamie e chaft,1,stage ib lung non-small cell carcinoma ajcc v7,1.0
20901,remedios otero,1,venous thromboembolism,1.0
20902,elena almagro casado,1,all tumor types,1.0
20903,rosa diaz,1,von willebrand disease,1.0
20904,p. smits,1,pci,1.0
20905,franck perrotin,1,posterior urethral valves,1.0
20906,mishell cunningham,1,crohn disease,1.0
20907,eloise beggiato,1,anticoagulants,1.0
20908,flavio,1,coronary artery disease,1.0
20909,michael kent,1,lymphoproliferative disorders,1.0
20910,lene moller larsen,1,pah,1.0
20911,nicasio mancini,1,orthotopic liver transplantation,1.0
20912,cheah nellie lay chin,1,metastatic breast cancer,1.0
20913,benjamin spieler,1,thoracic esophagus squamous cell carcinoma,1.0
20914,nicole kounalakis,1,"cutaneous melanoma, stage ii",1.0
20915,raquel hladun,1,soft tissue sarcoma,1.0
20916,felip,1,non-small cell lung cancer,1.0
20917,mark lambie,1,end stage renal disease,1.0
20918,rayessa rayessa,1,atrial fibrillation,1.0
20919,vip viprakasit,1,myeloproliferative neoplasm(mpn)-associated myelofibrosis,1.0
20920,jessica liegel,1,acute myeloid leukemia,1.0
20921,sabrina conoci,1,hip prosthesis infection,1.0
20922,r.h geelkerken,1,abdominal aortic aneurysm,1.0
20923,verna aquino,1,"ards, human",1.0
20924,abraham avigdor,1,refractory diffuse large b-cell lymphoma,1.0
20925,marco marietta,1,coagulation disorder,1.0
20926,yadwinder dhillon,1,cow's milk allergy,1.0
20927,charles l. bailey,1,philadelphia chromosome-like all (ph-like all),1.0
20928,akinwande akinfolarin,1,immunoglobulin a nephropathy,1.0
20929,christian jakisch,1,her2-negative breast cancer,1.0
20930,elizabeth pomfret,1,liver diseases,1.0
20931,martina müller-schilling,1,acute-on-chronic liver failure,1.0
20932,roberto belvis nieto,1,chronic migraine,1.0
20933,francesco alessandri,1,morbid obesity,1.0
20934,katell michaux,1,sickle cell disease,1.0
20935,mariella dadda,1,myeloproliferative disorders,1.0
20936,tarantini g,1,"myocardial infarction, acute",1.0
20937,quentin ducrocq,1,"sclerosis, systemic",1.0
20938,ana campos,1,"sclerosis, systemic",1.0
20939,marianne dudler,1,diffuse cutaneous systemic sclerosis,1.0
20940,stéphane ducassou,1,acute promyelocytic leukemia,1.0
20941,christophe moreno,1,nash - nonalcoholic steatohepatitis,1.0
20942,ilko kosturkov,1,nash - nonalcoholic steatohepatitis,1.0
20943,fernando alfonso,1,coronary artery stenosis,1.0
20944,pascaline boudou-rouquette,1,fgfr2 gene translocation,1.0
20945,aaron mansfield,1,non-small cell lung cancer metastatic,1.0
20946,juan manuel breyer,1,residual limb pain,1.0
20947,sofia alegria,1,pulmonary arterial hypertension,1.0
20948,hen biton,1,pbc,1.0
20949,ryszard nowak,1,spinal muscular atrophy,1.0
20950,michelangelo maestri,1,generalized myasthenia gravis,1.0
20951,nicola brienza,1,sars-cov2 infection,1.0
20952,todd barron,1,lennox gastaut syndrome (lgs),1.0
20953,cherif n. boutros,1,stage iii colon cancer,1.0
20954,aimee bachelier,1,atherosclerotic cardiovascular disease,1.0
20955,hoshiga,1,atherosclerotic cardiovascular disease,1.0
20956,van der zee,1,atherosclerotic cardiovascular disease,1.0
20957,lagocki,1,atherosclerotic cardiovascular disease,1.0
20958,maria spilia,1,fabry disease,1.0
20959,martin loos,1,pancreatic fistula,1.0
20960,shundong cang,1,colorectal neoplasms,1.0
20961,fernando vieira pericole de souza,1,"leukemia, b-cell",1.0
20962,diana stolz,1,infectious pneumonia,1.0
20963,romain nonis,1,interstitial lung disease,1.0
20964,weum abrahamsen,1,multiple myeloma,1.0
20965,grainne gorman,1,primary mitochondrial myopathy,1.0
20966,lily tran,1,tuberous sclerosis complex,1.0
20967,roi chans gerpe,1,mucopolysaccharidosis ii,1.0
20968,lucy dougherty,1,mucopolysaccharidosis ii,1.0
20969,elia pestana knight,1,cyclin-dependent kinase-like 5 deficiency disorder,1.0
20970,nobuhiko oridate,1,head and neck cancer,1.0
20971,maria v de angelis,1,tia,1.0
20972,domenico idone,1,tia,1.0
20973,cynthia brinson,1,ulcerative colitis,1.0
20974,maysa abu-khalaf,1,breast neoplasms,1.0
20975,rita simoes,1,multiple system atrophy,1.0
20976,michelangelo la placa,1,chronic cutaneous lupus erythematosus,1.0
20977,benaya rozen-zvi,1,overweight,1.0
20978,hugh taylor,1,endometriosis,1.0
20979,luigi pasquale,1,colonoscopy,1.0
20980,ohad cohen,1,"children, only",1.0
20981,fotios koumpouras,1,systemic lupus erythematosus,1.0
20982,john paschold,1,non small cell lung cancer,1.0
20983,yingying xu,1,non small cell lung cancer,1.0
20984,chiara coco,1,cardiac function,1.0
20985,alessandro mannucci,1,risk reduction,1.0
20986,maria matilde inglese,1,relapsing forms of multiple sclerosis,1.0
20987,elena seminari,1,calcific aortic valve diasease,1.0
20988,mara luzzo,1,hospitalization,1.0
20989,mark e. bernard,1,stage i breast cancer,1.0
20990,james liang,1,"leukemia, b-cell",1.0
20991,yi-hsiu huang,1,abiraterone acetate,1.0
20992,gabriela elena stanciulescu,1,overweight,1.0
20993,jonathan a. ledermann,1,ovarian cancer,1.0
20994,c.j.m. de groot,1,pregnancy,1.0
20995,giovanni mantovani,1,metastatic or locally advanced breast cancer,1.0
20996,felix beuschlein,1,adrenocortical carcinoma,1.0
20997,r schwerdtfeger,1,myelodysplastic syndrome,1.0
20998,maria luisa baeza,1,hereditary angioedema (hae),1.0
20999,claire bethune,1,hereditary angioedema (hae),1.0
21000,silvia campanella,1,parkinson's disease,1.0
21001,rolf rossaint,1,delirium,1.0
21002,brian rini,1,metastatic renal cell carcinoma,1.0
21003,ricardo rada morgades,1,crohn's disease,1.0
21004,zsa zsa brown,1,huntington's disease,1.0
21005,r d'angelo,1,neuroendocrine tumors,1.0
21006,formisano sandra,1,acute lymphoblastic leukaemia,1.0
21007,george f. geils,1,alk gene rearrangement,1.0
21008,pietro gaetano,1,coronary artery disease,1.0
21009,luigi emilio pastormerlo,1,coronary artery disease,1.0
21010,diego agustín rodríguez,1,venous thromboembolism,1.0
21011,nazaret pacheco gómez,1,venous thromboembolism,1.0
21012,pablo javier marchena,1,venous thromboembolism,1.0
21013,henri bounameaux,1,venous thromboembolism,1.0
21014,lizza hendriks,1,all tumor types,1.0
21015,martin bentz,1,mantle cell lymphoma,1.0
21016,joy dickinson,1,mantle cell lymphoma,1.0
21017,frank breywisch,1,mantle cell lymphoma,1.0
21018,annie borel-derlon,1,von willebrand disease,1.0
21019,lajos pusztai,1,stage i breast cancer ajcc v7,1.0
21020,marc ribó,1,"stroke, ischemic",1.0
21021,renate arnold,1,invasive aspergillosis,1.0
21022,jason roberts,1,antifungal agents,1.0
21023,georg m schmölzer,1,brain injuries,1.0
21024,peter den heijer,1,tricuspid valve insufficiency,1.0
21025,maciej k kolowca,1,"aortic aneurysm, thoracoabdominal",1.0
21026,nicholas giordano,1,deep venous thromboses,1.0
21027,ana catarina alves,1,hypertension,1.0
21028,amicarelli elena,1,hospitalization,1.0
21029,venuti daniela,1,hospitalization,1.0
21030,paul ruff,1,metastatic breast cancer,1.0
21031,charu aggarwal,1,stage iiic lung cancer ajcc v8,1.0
21032,noelia martínez jañez,1,breast cancer recurrent,1.0
21033,marta skrodzka,1,erectile dysfunction,1.0
21034,konstantinos chouliaras,1,"cutaneous melanoma, stage ii",1.0
21035,ewan wilson,1,"cutaneous melanoma, stage ii",1.0
21036,issam alawin,1,pancreatic cancer,1.0
21037,rizwan ahmed butt,1,end stage renal disease,1.0
21038,satish maddineni,1,clear cell renal cell carcinoma,1.0
21039,filippo becherucci,1,critical illness,1.0
21040,mariem labiadh,1,endometrial cancer,1.0
21041,necati örmeci,1,"cirrhosis, liver",1.0
21042,james a. wallace,1,stage iv lung cancer ajcc v8,1.0
21043,giada lullini,1,patellofemoral dislocation,1.0
21044,anna maria tognoni,1,hospitalization,1.0
21045,mira huhtala,1,tumor,1.0
21046,janis m. stoll,1,biliary atresia,1.0
21047,lorusso,1,covid,1.0
21048,dimitri vandeweghe,1,covid,1.0
21049,morgan brown,1,refractory diffuse large b-cell lymphoma,1.0
21050,michela coccia,1,covid-19,1.0
21051,mario ardizzoia,1,ovarian cancer,1.0
21052,christian kurzeder,1,her2-negative breast cancer,1.0
21053,víctor vargas,1,complications,1.0
21054,steven kim,1,"lymphoma, mantle-cell",1.0
21055,fontanet bijou,1,"lymphoma, mantle-cell",1.0
21056,mikhail v. dvorkin,1,"lymphoma, mantle-cell",1.0
21057,gianluca m sampietro,1,ulcerative colitis,1.0
21058,franklin samou fantcho,1,sickle cell disease,1.0
21059,patricia zunic,1,sickle cell disease,1.0
21060,hanna kosela-paterczyk,1,soft tissue sarcoma,1.0
21061,f alfonso,1,"myocardial infarction, acute",1.0
21062,tobias feldmann,1,evaluate the safety and useability of the odocor ii intra-cardiac lead,1.0
21063,stephanie finzel,1,"sclerosis, systemic",1.0
21064,sabrina costantini,1,myelodysplastic syndromes,1.0
21065,burhan ferhanoglu,1,diffuse large b-cell lymphoma,1.0
21066,candida bonelli,1,hematologic diseases,1.0
21067,xinhua luo,1,nash - nonalcoholic steatohepatitis,1.0
21068,jose gerardo gonzalez,1,nash - nonalcoholic steatohepatitis,1.0
21069,mark harris,1,"lupus erythematosus, systemic",1.0
21070,lowie vanfleteren,1,chronic obstructive pulmonary disease exacerbation,1.0
21071,khandanpour,1,multiple myeloma,1.0
21072,antonio biroli,1,timing of invasive intracranial pressure monitoring,1.0
21073,pawel radwan,1,endometriosis,1.0
21074,atakan demir,1,esophageal adenocarcinoma,1.0
21075,jurgen sota,1,"autoinflammatory syndrome, unspecified",1.0
21076,khurana,1,atherosclerotic cardiovascular disease,1.0
21077,fraser,1,atherosclerotic cardiovascular disease,1.0
21078,maryanne poole,1,melanoma,1.0
21079,rita di stefano,1,hospitalization,1.0
21080,giovanni rossu,1,hospitalization,1.0
21081,hao-wei teng,1,colorectal neoplasms,1.0
21082,dennis slater,1,"leukemia, lymphocytic",1.0
21083,richard g wunderink,1,severe covid-19,1.0
21084,david manners,1,interstitial lung disease,1.0
21085,natacha gusbin,1,idiopathic pulmonary fibrosis,1.0
21086,anderson,1,multiple myeloma,1.0
21087,thomas obisesan,1,alzheimer's disease,1.0
21088,qasim aziz,1,celiac disease,1.0
21089,meem mahmud,1,parkinson's disease,1.0
21090,f diekmann,1,kidney transplantation in highly sensitized patients,1.0
21091,kyoung-eun lee,1,neoplasms,1.0
21092,harrison lee,1,intracranial stenosis,1.0
21093,andrea cassone,1,tonsillectomy,1.0
21094,palma fariñas alija,1,end-stage renal disease,1.0
21095,doriana medici,1,ischemic stroke,1.0
21096,naomi dempsey,1,breast neoplasms,1.0
21097,gini guido,1,"low grade non-hodgkin's lymphoma, adult",1.0
21098,jeremy schmahmann,1,multiple system atrophy,1.0
21099,theodore abraham,1,"cardiomyopathy, hypertrophic",1.0
21100,tobias rheude,1,aortic valve stenosis,1.0
21101,dominik roth,1,acute chest pain,1.0
21102,sheng-shun yang,1,fgfr2 fusions,1.0
21103,francisco-jose lopez jaime,1,hemophilia b,1.0
21104,girolama a. marfia,1,relapsing forms of multiple sclerosis,1.0
21105,yevgeniy bukhman,1,type 2 diabetes,1.0
21106,timothy w. jennings,1,obesity,1.0
21107,habre walid,1,adverse events,1.0
21108,monica marta kurtis urra,1,parkinson's disease,1.0
21109,diana ghisleni,1,chronic diarrhoea of infants and/or young children,1.0
21110,paola rocca,1,early treatment-resistance,1.0
21111,enrico ruffini,1,video-assisted thoracic surgery,1.0
21112,ainara rabade ferreiro,1,bladder carcinoma in situ (cis),1.0
21113,alvaro alencar,1,blastic plasmacytoid dendritic cell neoplasm (bpdcn),1.0
21114,jackie harris,1,parkinson's disease,1.0
21115,giuseppe d'amico ricci,1,resistent choroidal neovascularizationwet aged macular degeneration,1.0
21116,j. rodriguez luis,1,neuroblastoma,1.0
21117,christian dittrich,1,breast cancer,1.0
21118,francesco iemolo,1,epileptic seizures,1.0
21119,richard delarue,1,b-cell chronic lymphocytic leukemia,1.0
21120,franco mantero,1,adrenocortical carcinoma,1.0
21121,frantisek saudek,1,type 1 diabetes,1.0
21122,francesca lopopolo,1,low back pain,1.0
21123,nicola rovai,1,implantable cardioverter defibrillator,1.0
21124,silvia linari,1,severe hemophilia a with inhibitor,1.0
21125,carlo gulotta,1,copd,1.0
21126,lucilla tedeschi,1,diffuse large b-cell lymphoma,1.0
21127,david whellan,1,homozygous familial hypercholesterolemia,1.0
21128,renato g. martins,1,stage iia lung cancer ajcc v8,1.0
21129,pierre françois laterre,1,septic shock,1.0
21130,jean-pierre becquemin,1,abdominal aortic aneurysms,1.0
21131,david a. riseberg,1,triple-negative breast carcinoma,1.0
21132,bjoern falkerburger,1,huntington's disease,1.0
21133,alexia bertulli,1,epithelioid sarcoma,1.0
21134,david bougon,1,antifungal agents,1.0
21135,michelle marcon,1,crohn disease,1.0
21136,sheena quaid,1,crohn disease,1.0
21137,chiara lupi,1,headache disorders,1.0
21138,maha almahmudi,1,breast cancer,1.0
21139,nicola galea,1,myocardial inflammation,1.0
21140,iztok stotl,1,lipodystrophy congenital,1.0
21141,pablo bazal,1,myocardial infarction,1.0
21142,gisela martina bohns-meyer,1,pulmonary hypertension,1.0
21143,anne renick,1,"hypertension, pulmonary",1.0
21144,anja paulsen,1,"hypertension, pulmonary",1.0
21145,alexander l vahrmeijer,1,colorectal neoplasms,1.0
21146,javier fernández,1,acute-on-chronic liver failure,1.0
21147,foà,1,acute promyelocytic leukemia,1.0
21148,barbara bolliger,1,metastatic breast cancer,1.0
21149,david gallinson,1,non hodgkin lymphoma,1.0
21150,samuel ford,1,retroperitoneal sarcoma,1.0
21151,annick melin,1,"multiple sclerosis, relapsing-remitting",1.0
21152,han,1,non-small cell lung cancer,1.0
21153,cobo-dols,1,non-small cell lung cancer,1.0
21154,tina czaplinska,1,advanced malignant neoplasm,1.0
21155,ana landa magdalena,1,"lymphoma, t-cell",1.0
21156,laura wanner,1,"mesothelioma, malignant",1.0
21157,andrew w. pippas,1,limited stage lung small cell carcinoma,1.0
21158,prajnan das,1,anal margin squamous cell carcinoma,1.0
21159,david gil-ortega,1,propionic acidemia,1.0
21160,andrea isidori,1,gastro-entero pancreatic neuroendocrine tumors,1.0
21161,adic perez,1,invasive procedure,1.0
21162,maria cossu rocca,1,squamous cell carcinoma of the oropharynx,1.0
21163,maria paola m martelli,1,acute myeloid leukemia,1.0
21164,laurent magy,1,quality of life,1.0
21165,david j andorsky,1,"lymphoma, mantle-cell",1.0
21166,peter ganly,1,"lymphoma, mantle-cell",1.0
21167,slimane allali,1,sickle cell disease,1.0
21168,marco cascella,1,quality of life,1.0
21169,eric felner,1,growth hormone deficiency,1.0
21170,mercedes serrano romero,1,nash - nonalcoholic steatohepatitis,1.0
21171,thomas schmitz,1,coronary artery disease,1.0
21172,antonia rodriguez-izquierdo,1,hodgkin lymphoma,1.0
21173,sylvie lorenzen,1,gastro-oesophageal cancer,1.0
21174,guya devalle,1,"brain injuries, acute",1.0
21175,ram kasthuri,1,popliteal aneurysm,1.0
21176,michael morse,1,neuroendocrine tumors,1.0
21177,martijn meuwissen,1,coronary artery disease,1.0
21178,eitan friedman,1,pancreatic ductal adenocarcinoma,1.0
21179,mona bafadhel,1,chronic obstructive pulmonary disease exacerbation,1.0
21180,musolino,1,multiple myeloma,1.0
21181,laurence adams,1,generalized myasthenia gravis,1.0
21182,paolo sfriso,1,scleritis,1.0
21183,donato rigante,1,still disease,1.0
21184,adrian murphy,1,colorectal neoplasms,1.0
21185,michael j walker,1,pancreatic ductal adenocarcinoma,1.0
21186,pavel levin,1,cytochrome p-450,1.0
21187,perla perez perez,1,enzyme inhibitors,1.0
21188,concetta forchetti,1,alzheimer's disease,1.0
21189,christina m canil,1,locally advanced or metastatic urothelial carcinoma,1.0
21190,agustí toll abelló,1,scc - squamous cell carcinoma,1.0
21191,jingao li,1,head and neck cancer,1.0
21192,francesca mazzone,1,non-small cell lung cancer,1.0
21193,tezer kutluk,1,blastic plasmacytoid dendritic cell neoplasm (bpdcn),1.0
21194,cristina targa ferreira,1,crohn's disease,1.0
21195,alvaro nahuel yanzi castilla,1,breast neoplasms,1.0
21196,lina pugliano,1,breast neoplasms,1.0
21197,atsushi yoshida,1,breast neoplasms,1.0
21198,megan r arthur,1,chronic cutaneous lupus erythematosus,1.0
21199,randall toombs huling,1,obesity,1.0
21200,triantafyllos didangelos,1,obesity,1.0
21201,dariusz sowinski,1,overweight,1.0
21202,josé manuel cifrián martínez,1,ipf,1.0
21203,john dubay,1,adult disease,1.0
21204,yuichi shimada,1,"cardiomyopathy, hypertrophic",1.0
21205,julia mascherbauer,1,structural valve degeneration,1.0
21206,frenzel laurent,1,hemophilia b,1.0
21207,ilana abeles,1,systemic lupus erythematosus,1.0
21208,stephan steuer,1,nstemi - non-st segment elevation mi,1.0
21209,marta pacinico,1,soft tissue sarcoma,1.0
21210,susanne knake,1,refractory status epilepticus,1.0
21211,augusto maria rini,1,parkinson's disease,1.0
21212,marni wiseman,1,atopic dermatitis,1.0
21213,rebekah molyneux,1,overweight or obesity,1.0
21214,alba rubio san simón,1,child,1.0
21215,geneieve tai,1,friedreich ataxia,1.0
21216,carmen mannucci,1,irritable bowel syndrome,1.0
21217,falcone,1,multiple myeloma,1.0
21218,emilio alba conejo,1,her2 positive breast cancer,1.0
21219,anu partanen,1,relapsed or refractory multiple myeloma,1.0
21220,jongpil im,1,ulcerative colitis,1.0
21221,giovanni barbanti bròdano,1,degenerative spinal conditions,1.0
21222,giuseppe dattilo,1,chronic heart failure,1.0
21223,mario testini,1,acute cholecystitis and cholelithiasis,1.0
21224,j. miguel couselo,1,neuroblastoma,1.0
21225,laurent bedenne,1,colorectal cancer,1.0
21226,niccolò marchionni,1,nstemi,1.0
21227,bjores,1,carotid stenosis,1.0
21228,jean-charles le huec,1,spinal stenosis,1.0
21229,rosanna cogliandro,1,irritable bowel syndrome,1.0
21230,michael bachmaier,1,huntington's disease,1.0
21231,ferdinando porretto,1,chronic myeloid leukemia,1.0
21232,samuele massarut,1,early breast cancer,1.0
21233,kyara bergstrom,1,early breast cancer,1.0
21234,minh t. truong,1,stage iv oropharyngeal squamous cell carcinoma ajcc v7,1.0
21235,aleks zuzek,1,muscle spasticity,1.0
21236,sante romito,1,metastatic breast cancer,1.0
21237,alessandro pecci,1,inherited platelet disorder,1.0
21238,rowena gonzales-chambers,1,stage iiia breast cancer,1.0
21239,andre robidoux,1,breast adenocarcinoma,1.0
21240,mariangela maiotti,1,alzheimer's disease,1.0
21241,alfred ian lee,1,venous thromboembolism,1.0
21242,manuel magalhaes,1,all tumor types,1.0
21243,ingrid glimelius,1,mantle cell lymphoma,1.0
21244,benjamin t. cooper,1,glioma,1.0
21245,charles e geyer,1,recurrent her2-positive breast carcinoma,1.0
21246,koiana ivanova trencheva,1,crohn's disease,1.0
21247,carina gapin,1,crohn disease,1.0
21248,robert m. doline,1,breast cancer,1.0
21249,julie l. bowen,1,breast cancer,1.0
21250,choon kin lee,1,ulcerative colitis,1.0
21251,mianulli,1,acute lymphoid leukemia,1.0
21252,frances boyle,1,metastatic breast cancer,1.0
21253,thitiya dejthevaporn,1,metastatic breast cancer,1.0
21254,gerard espinosa,1,behçet disease,1.0
21255,axel bauer,1,cardiogenic shock,1.0
21256,sonia del barco berrón,1,breast cancer recurrent,1.0
21257,david wypij,1,acute respiratory distress syndrome in children,1.0
21258,boyer,1,non-small cell lung cancer,1.0
21259,vicente baz,1,non-small cell lung cancer,1.0
21260,francois vincent,1,lung small cell carcinoma,1.0
21261,claudio ripamonti,1,"osteoporosis, postmenopausal",1.0
21262,josef malis,1,high-risk neuroblastoma,1.0
21263,jeffrey sharman,1,relapsed/refractory follicular lymphoma,1.0
21264,jennifer isaacs,1,urgent surgery,1.0
21265,manhua chen,1,urgent surgery,1.0
21266,christoph krapf,1,covid,1.0
21267,ameet patel,1,peripheral t-cell lymphoma,1.0
21268,sezai yilmaz,1,liver transplant,1.0
21269,francisco jose anglada curado,1,transitional cell cancer of renal pelvis and ureter,1.0
21270,cormac owens,1,rhabdomyosarcoma,1.0
21271,qun yi guo,1,chronic lymphocytic leukemia,1.0
21272,lambert busque,1,primary myelofibrosis,1.0
21273,harry gill-harinder singh,1,myelofibrosis,1.0
21274,chiara f gheri,1,cardiac rehabilitation,1.0
21275,florian blaschke,1,evaluate the safety and useability of the odocor ii intra-cardiac lead,1.0
21276,sylvain chantepie,1,acute graft versus host disease in intestine,1.0
21277,martin carré,1,steroid refractory gvhd,1.0
21278,andres sanchez salinas,1,steroid refractory gvhd,1.0
21279,james dugan,1,myelodysplastic syndromes,1.0
21280,jerome rey,1,myelofibrosis,1.0
21281,cinzia monaco,1,atrial fibrillation new onset,1.0
21282,guillermo cabera alvarez,1,nash - nonalcoholic steatohepatitis,1.0
21283,miguel fernandez de sanmamed gutiérrez,1,gastric cancer,1.0
21284,ruth perets,1,gastric/gastroesophageal junction adenocarcinoma,1.0
21285,eleonora cocco,1,multiple sclerosis,1.0
21286,gordana bogdanovic,1,"lupus erythematosus, systemic",1.0
21287,anna maria cafro,1,multiple myeloma,1.0
21288,benjamin waschki,1,chronic obstructive pulmonary disease exacerbation,1.0
21289,thomas bauer,1,tibial fractures,1.0
21290,massimo zeuli,1,her2-positive colon cancer,1.0
21291,aziz shaibani,1,generalized myasthenia gravis,1.0
21292,hüsnü efendi̇,1,generalized myasthenia gravis,1.0
21293,takami,1,cold agglutinin disease,1.0
21294,elisabetta landucci,1,hormone receptor positive breast carcinoma,1.0
21295,patrick j. mansky,1,stage iii colon cancer,1.0
21296,anita mkrttchyan,1,fabry disease,1.0
21297,lin wang,1,colorectal neoplasms,1.0
21298,jianhua chen,1,colorectal neoplasms,1.0
21299,rossi,1,multiple myeloma,1.0
21300,lemeiux,1,multiple myeloma,1.0
21301,jeffrey yorio,1,physiological effects of drugs,1.0
21302,cynthia murphy,1,alzheimer's disease,1.0
21303,david greeley,1,alzheimer's disease,1.0
21304,david ritter,1,tuberous sclerosis complex,1.0
21305,gerardo francioni jimenez,1,healthy population,1.0
21306,valentina agnese,1,healthy population,1.0
21307,lucinda harris,1,celiac disease,1.0
21308,noemie vulquin,1,head and neck cancer,1.0
21309,isabel fragata,1,mechanical thrombectomy,1.0
21310,patrizia mecocci,1,fasting-mimicking diet,1.0
21311,kostandinos sideras,1,breast neoplasms,1.0
21312,daniele evaristo vieira,1,breast neoplasms,1.0
21313,karen drumea,1,breast neoplasms,1.0
21314,ivan spicka,1,relapsed or refractory multiple myeloma,1.0
21315,maria andrea steinacher,1,obesity,1.0
21316,zhenmei an,1,obesity,1.0
21317,joanna mirocka,1,obesity,1.0
21318,chih-yuan fang,1,obesity,1.0
21319,april rusch,1,endometriosis,1.0
21320,adam cohen,1,glioma,1.0
21321,vasileios panoulas,1,structural valve deterioration,1.0
21322,firas warda,1,type 2 diabetes,1.0
21323,diego alberto carrozza,1,chronic kidney disease,1.0
21324,milan flekac,1,type 2 diabetes,1.0
21325,ludovica raymo,1,rop,1.0
21326,stefania boccia,1,cardiovascular diseases,1.0
21327,stefana impera,1,anemia,1.0
21328,thomas cash,1,neoplasms,1.0
21329,paris kosmidis,1,toxicity,1.0
21330,malgorzata gabriela wasniewska,1,obesity,1.0
21331,konrad pańczak,1,diabetic foot ulcer,1.0
21332,dhatri kodali,1,breast neoplasms,1.0
21333,kazimierz pitynski,1,pregnancy,1.0
21334,franco paradisi,1,urinary tract infections,1.0
21335,jose salvador rodrigues oliveira,1,lymphoma,1.0
21336,dieter hoelzer,1,lymphoma,1.0
21337,caspar grond-ginsbach,1,cervical artery dissection,1.0
21338,fabrizio tomai,1,chronic kidney disease,1.0
21339,giancarlo parati,1,implantable defibrillator,1.0
21340,barry byrne,1,"muscular dystrophy, duchenne",1.0
21341,rossella fattori,1,coronary artery disease,1.0
21342,peter fa mulders,1,urinary bladder neoplasms,1.0
21343,alessio gargaro,1,pacemaker,1.0
21344,paolo rossi,1,bronchopneumonia,1.0
21345,lennard gilissen,1,crohn's disease,1.0
21346,elisabetta calistri,1,pregnancy,1.0
21347,mario masellis,1,dementia,1.0
21348,guglielmo ronco,1,neoplasms,1.0
