,Condition,Average Attention Score
4637,Retroperitoneal Fibrosis,
4638,Family History of Metabolic Syndrome,
4639,Immune Thrombocytopenic Purpura,
4640,Hilar Cholangiocarcinoma,
4641,Solute Removal,
4642,Acute ST Segment Elevation Myocardial Infarction,
4643,"Interstitial Cystitis, Chronic",
4644,Rectosigmoid Adenocarcinoma,
4645,Follicular Non-Hodgkin's Lymphoma Refractory,
4646,Complications in Diagnostic Percutaneous Lung Biopsy Procedures,
4647,HER2-Positive Advanced Biliary Tract Cancer,
4648,Cardiac Event,
4649,Lightning Strategies on Health,
4650,Marfans syndrome,
4651,Vitiligo vulgaris,
4652,Bacteremia,
4653,Acute Renal Failure,
4654,Antiplatelet Therapy,
4655,"Patients With CLL Relapsing After an Initial Response (CR, PR ≥ 6 Months) Following no More Than Two Prior Treatment Lines",
4656,Extensive-Stage Small Cell Lung Cancer,
4657,Coinfection,
4658,Pelvic Organ Prolapse,
4659,Haemodynamic Instability,
4660,Solid Cancer,
4661,Liver Steatosis,
4662,Cough,
4663,Myocardial Bridge of Coronary Artery,
4664,Great Vessel Reconstruction,
4665,Hyponatremia With Normal Extracellular Fluid Volume,
4666,Brugada Syndrome 1,
4667,Amputation Neuroma,
4668,Coronary Angiography,
4669,Pancreatic Adenocarcinoma Metastatic,
4670,Arrhythmic Storm,
4671,Intensive Care Unit Delirium,
4672,Perinatal Care,
4673,Osteosarcoma localised,
4674,Gastrointestinal neoplasm,
4675,Gastrointestinal inflammatory disorders NEC,
4676,Preterm premature rupture of membranes,
4677,Total hip arthroplasty for osteoarthritis or aseptic necrosis of the femoral head,
4678,Short Uterine Cervical Length,
4679,Irritable Bowel Syndrome With Diarrhea,
4680,Chronic Wound Care,
4681,Chronic HCV Infection,
4682,Coronary Bifurcations,
4683,"Genes, BRCA 1",
4684,Noninvasive Ventilation,
4685,Perioperative Care,
4686,Uremic,
4687,Free Flaps,
4688,Nosocomial Infection,
4689,Carcinomas of Unknown Primary Site,
4690,"Glioblastoma, IDH-wildtype",
4691,HAP - Hospital Acquired Pneumonia,
4692,Multiple myelomas,
4693,Acute lymphoblastic leukaemia recurrent,
4694,Analgesia,
4695,Breast tumor excision,
4696,Hypoxic-ischemic encephalopathy,
4697,Kaposis sarcoma,
4698,Progressive multiple sclerosis,
4699,Chronic Myeloproliferative Disorders,
4700,Candidiasis,
4701,Left Ventricular Cardiac Dysfunction,
4702,Breast Feeding of Healthy Full Term Infants,
4703,Postoperative Residual Curarization,
4704,Refractory Chronic Migraine,
4705,Osteonecrosis,
4706,Midgut Neuroendocrine Tumours,
4707,NEC - Necrotizing Enterocolitis,
4708,Chondromyxoid Fibroma,
4709,Blood Transfusion Complication,
4710,Silicone Oil Droplets on Intraocular Lens,
4711,Training,
4712,Thoracic,
4713,Pharmacogenomic Drug Interaction,
4714,Cardiopulmonary Exercise Test,
4715,Cancer pain,
4716,Hepatobiliary disorders,
4717,Infiltration anaesthesia,
4718,Diabetic macular edema,
4719,Hepatitis C Virus,
4720,Male Subfertility,
4721,Intraoperative Complications,
4722,Spine Cancer,
4723,Epithelioid Hemangioma of Bone,
4724,Nephrotic Syndrome in Children,
4725,Cruciate Ligament Rupture,
4726,"Dyslexia, Developmental",
4727,"Macular Degeneration, Age Related",
4728,Congenital Heart Defect,
4729,Sedation during medical procedure,
4730,Proven or suspected pancreatic ductal adenocarcinoma (PDAC) in the pancreatic body or tail suitable for elective upfront distal pancreatectomy,
4731,Healthcare associated infections.,
4732,Atypical Endometrial Hyperplasia,
4733,Renal Transplantation,
4734,Family History of Diabetes,
4735,Essential Thrombocythemia (ET),
4736,Premature Birth,
4737,Cardiac Heart Failure Patients,
4738,Ventilator-Induced Lung Injury,
4739,Withdrawal Syndrome,
4740,Prosthesis Survival,
4741,Neurodevelopmental Abnormality,
4742,Chronic Non-specific Neck Pain,
4743,Cartilage Degeneration,
4744,"Neoplasms benign, malignant and unspecified incl cysts and polyps",
4745,Osteogenesis imperfecta,
4746,Soft tissue neoplasm,
4747,Pancreatic adenocarcinoma,
4748,Optimum control of insulin resistance and lipid profile in post-menopausal women,
4749,"Minor orthopaedic surgery (i.e. arthroscopic meniscectomy, arthroscopic removal of bone fragments, and surgical correction of hallux valgus)",
4750,Early invasive unilateral breast cancer larger than 2 cm in diameter,
4751,"Lymphoblastic Leukemia, Acute",
4752,Assess the Benefits From the AAISafeR/SafeR Algorithm of Symphony 2550 or REPLYTM DR in a Wide Range of Pacemaker Patients.,
4753,"Ductus Arteriosus, Patent",
4754,Painful Bladder Syndrome,
4755,Acute Respiratory Variations of Acid-base Equilibrium,
4756,Graft Failure,
4757,Other Metabolic Diseases,
4758,Lower Urinary Tract Symptoms,
4759,"Endocarditis, Bacterial",
4760,EPS,
4761,Patello Femoral Syndrome,
4762,Haematological Malignancy,
4763,Oral Disease,
4764,Huntington Chorea,
4765,Biliary neoplasm,
4766,Hepatic encephalopathy,
4767,Prostate neoplasia,
4768,One-Lung Ventilation,
4769,Hypotension Drug-Induced,
4770,Recurrent Non-Squamous Non-Small Cell Lung Carcinoma,
4771,Intestinal Anastomosis Complication,
4772,Enterococcus Faecalis Infection,
4773,Clostridium Difficile Infection,
4774,Uterine Niche,
4775,Low-Lying,
4776,Pre-Eclampsia,
4777,Relapsed or Refractory Hodgkin's Lymphoma,
4778,Subjective Cognitive Decline,
4779,"Anesthesia, Headache",
4780,Urologic Diseases,
4781,Non-small cell lung cancer stage IIIB,
4782,Myasthenia gravis (MG),
4783,Systemic Lupus Erythematosus Nephritis,
4784,Diabetes Mellitus in Pregnancy,
4785,"Secondary Acute Myeloid Leukemia (Secondary AML, sAML)",
4786,"Diabetes, Pregnancy Induced",
4787,Postmenopausal Disorder,
4788,Postoperative Blood Loss,
4789,Acute Bronchitis,
4790,Indolent B-Cell Lymphomas,
4791,Fragility,
4792,Mitral Valve,
4793,Aorto-Iliac Atherosclerosis,
4794,Waldenstroms Macroglobulinaemia,
4795,Chronic Lymphocytic Leukaemia,
4796,Acne,
4797,"Epidermolysis Bullosa, Junctional",
4798,Chronic Ankle Instability,
4799,Chronic Intestinal Pseudo-obstruction,
4800,Excess,
4801,Hip Arthroscopy,
4802,ICD Replacement or Upgrade,
4803,Myofascial Pain Syndromes,
4804,Coronary Atherosclerosis,
4805,Bronchial Asthma,
4806,"Infant, Newborn",
4807,Vegetative State,
4808,Thyroid Gland Anaplastic Carcinoma,
4809,Measurable Disease,
4810,Brain Death,
4811,Depression/Anxiety,
4812,Obesity /Overweight,
4813,Bacterial Resistance,
4814,Non ST Elevation Acute Coronary Syndromes,
4815,Systemic Autoimmune Diseases,
4816,Allergic Rhinoconjunctivitis,
4817,Symptomatic Uncomplicated Diverticular Disease,
4818,Obese,
4819,Fracture Infection,
4820,"Stress, Psychological",
4821,IgG4 Related Disease,
4822,Supratentorial Brain Tumor,
4823,B-cell Non Hodgkin Lymphoma,
4824,Ductal Carcinoma in Situ,
4825,Transthyretin-Mediated Amyloid Cardiomyopathy (ATTR-CM),
4826,"Unspecified Adult Solid Tumor, Protocol Specific",
4827,Precancerous Condition,
4828,Radiation Toxicity,
4829,"Myeloid Leukemia, Chronic, Chronic-Phase",
4830,Chronic Obstructive Pulmonary Disease (COPD),
4831,Lower Limb Ulcer,
4832,Bifascicular Block,
4833,Hypovolemia,
4834,Low-grade Serous Ovarian Carcinoma,
4835,Glioblastoma (GBM),
4836,Gliomatosis Cerebri,
4837,Squamous-Cell Lung Cancer,
4838,Respiratory Distress Syndrome in Premature Infants,
4839,Macular Scar,
4840,Pseudocyst,
4841,Hyperlordosis,
4842,Coeliac Disease,
4843,Refractory Status Epilepticus,
4844,"Adherence, Patient",
4845,Coronavirus infection,
4846,G20.9,
4847,HIV test positive,
4848,Fibromyalgia,
4849,Triple-negative breast cancer treated with systemic therapy,
4850,Improvement of post-partum depression and mastitis in healthy new mothers and reduction of excessive crying in the newborns.,
4851,Restless Legs Syndrome,
4852,Thrombotic Thrombocytopenic Purpura,
4853,Hyperemesis Gravidarum,
4854,Primary Peritoneal Neoplasm,
4855,Nonspecific Interstitial Pneumonia,
4856,Shoulder Impingement Syndrome,
4857,Blood Drawing Procedure,
4858,Headache Disorders,
4859,Soft Tissue Lesion,
4860,Recurrent Large Cell Lung Carcinoma,
4861,Eye Movement Desensitization and Reprocessing,
4862,Peripheral Vessel Reconstruction,
4863,Bone Lesion,
4864,Weight Gain,
4865,IgA Nephropathy (IgAN),
4866,"Myocardial Infarction, Acute",
4867,Autistic Spectrum Disorder,
4868,Postoperative Acute Pancreatitis,
4869,Cognitive Assessment,
4870,Inflammatory Cardiomyopathy,
4871,Pulmonary alveolar proteinosis,
4872,Symptomatic epilepsy,
4873,Carcinoma of the prostate metastatic,
4874,Diaphragm ultrasound assessmentRespiratory Muscles,
4875,"C92.1 - Chronic myeloid leukaemia [CML], BCR/ABL-positive",
4876,Glaucoma,
4877,Post Traumatic Deformity,
4878,Arthroplasty,
4879,Ankle Fractures,
4880,Circulating Tumor Cells,
4881,"Toxicity, Cardiac",
4882,Injury,
4883,Severe Hereditary Factor VIII Deficiency Disease Without Inhibitor,
4884,Gastrostomy,
4885,Viral Hepatitis D,
4886,Autoimmune Neutropenia,
4887,Left ventricular failure,
4888,Normal delivery,
4889,Pyelonephritis,
4890,Brain neoplasm malignant,
4891,Metastatic colon cancer,
4892,Viral lower respiratory tract infections,
4893,"Pediatric palliative and intensive care, pediatric and neonatal diseases",
4894,Classical Kaposi's Sarcoma,
4895,Respiratory Tract Diseases,
4896,Late Effects,
4897,Postnatal Growth Failure of Preterm Infants,
4898,Lower Limb Amputation Below Knee,
4899,Heart Failure，Congestive,
4900,"Gaucher Disease, Type 2",
4901,Early T Acute Lymphoblastic Leukemia,
4902,"Group B Streptococcal Infection, Early-Onset",
4903,Biochemical Relapse Fo Malignant Neoplasm of Prostate,
4904,Nasal Cavity and Paranasal Sinus Cancer,
4905,H3 K27M,
4906,Bullous Pemphigoid,
4907,Hypoxemia,
4908,"Fatty Liver, Nonalcoholic",
4909,Aldosterone-producing Adenoma,
4910,Renal and urinary disorders,
4911,Allergic conditions,
4912,Hypoxic Ischemic Encephalopathy (HIE),
4913,Metformin,
4914,Minimally Conscious State,
4915,Adenotonsillectomy,
4916,Advanced Pancreatic Cancer,
4917,Restenosis,
4918,Coronary Vessel Disorders,
4919,Thoracic Surgery Lung,
4920,"Acidosis, Lactic",
4921,Diarrhea-predominant Irritable Bowel Syndrome,
4922,Cushing Syndrome,
4923,"Renal Insufficiency, Chronic",
4924,Vascular Emergencies,
4925,Spinal Anesthetics Causing Adverse Effects in Therapeutic Use,
4926,Acute Respiratory Distress Syndrome in Children,
4927,Arterial Fibrosis,
4928,Asymptomatic Carotid Artery Stenosis,
4929,Medial Plica Syndrome,
4930,Genu Valgum,
4931,Colic,
4932,Diabetes type1,
4933,"Aortic Stenosis, Severe",
4934,Erythropoietic Protoporphyria (EPP),
4935,Nephrotic syndrome,
4936,Pulmonary tuberculosis,
4937,Diaphragm dysfunction,
4938,Ano genital warts,
4939,Cuff Rotator Syndrome,
4940,Placenta Accreta,
4941,AIDS,
4942,Hemodynamics,
4943,"Biopsy, Fine-needle",
4944,Dietary Exposure,
4945,Acute Rejection of Cardiac Transplant,
4946,Heart Failure Acute,
4947,Mood Disorders,
4948,Valve Heart Disease,
4949,Breast Cancer Stage IV,
4950,Sex Disorder,
4951,Refractory Kaposi Sarcoma,
4952,"Non-hodgkin Lymphoma,B Cell",
4953,Invasive candidiasis,
4954,Infantile colic,
4955,"Patellofemoral pain syndrome is a common cause of knee pain in young adults, especially in females who practice sport activities.",
4956,Expected Duration of Ventilation > 48h,
4957,"Heart Disease, Ischemic",
4958,"Hernia, Incisional",
4959,Gestational Diabetes Mellitus in Pregnancy,
4960,"Anesthesia, Spinal",
4961,Graft Vs Host Disease,
4962,Muscle Inflammation,
4963,Acute Appendicitis,
4964,Behcet's Disease Aggravated,
4965,Endophthalmitis Following Cataract Surgery,
4966,Vitamin D Deficiency,
4967,Vertebrobasilar Insufficiency,
4968,Drug Interaction,
4969,Pleural mesothelioma malignant,
4970,Germ cell cancer metastatic,
4971,Penile neoplasm NOS,
4972,"Monitoring, Immunologic",
4973,Bradyarrhythmia,
4974,Keratitis,
4975,Prostatic Cancer,
4976,Tourette Syndrome,
4977,Fertility Preservation,
4978,Chordoma,
4979,Right Bundle-Branch Block,
4980,Giant Cell Granuloma,
4981,Epidural,
4982,"Infant,Premature",
4983,Aortoiliac Obstruction,
4984,Systemic Inflammatory Response Syndrome,
4985,Diaphragm Dysfunction,
4986,Hypoglobulinemia,
4987,Gastro-entero Pancreatic Neuroendocrine Tumors,
4988,Cartilage Damage,
4989,Systemic Sclerosis With and Without Interstitial Lung Disease,
4990,Fertility Issues,
4991,Middle Ear Carcinoma,
4992,Gastric neoplasm,
4993,Primary Peritoneal Cavity Cancer,
4994,"Compression Devices, Intermittent Pneumatic",
4995,Fecal Incontinence,
4996,DNA,
4997,Heart Valve Disease,
4998,Femoroacetabular Impingement,
4999,Stage IV Pancreatic Cancer AJCC v6 and v7,
5000,Obstruction Bowel,
5001,Renal Cancer Cell,
5002,Chronic Ischemic Heart Disease,
5003,Lesion,
5004,Cardiac Output,
5005,Retinal Detachment,
5006,Pain Management,
5007,Abdominal Aortic Aneurysm >= 5.0 Centimeters in Female (Disorder),
5008,Amyloidosis Cardiac,
5009,Macular oedema,
5010,Acute leukaemia,
5011,Hyperparathyroidism primary,
5012,Headaches cluster,
5013,Platelet,
5014,Immune Primary Thrombocytopenia,
5015,Alphafetoprotein,
5016,Carcinoma Breast,
5017,Cardiovascular Abnormalities,
5018,Respiratory Infections in Old Age,
5019,Prostate Cancer Recurrent,
5020,Eosinophilic Esophagitis,
5021,Onychomycosis,
5022,High Grade Meningioma,
5023,Degenerative Spine Diseases,
5024,Diabetes Complications,
5025,Myasthenia gravis,
5026,Breast neoplasm malignant female,
5027,Mastectomy,
5028,Asymptomatic AVF stenosis,
5029,Multiple sclerosis (MS),
5030,Ventricular Dysfunction,
5031,Ewing,
5032,Cryptococcosis or Aspergillosis Infections,
5033,Axilla Node Dissection,
5034,Essential Hypertension,
5035,Defecatory Disorders After Left Colonic or Rectal Resection,
5036,Morbid Obesity,
5037,"Knee Osteoarthritis, Obesity",
5038,Fibrosarcoma,
5039,Osteochondritis,
5040,Paediatric Airway Management,
5041,Intubation Complication,
5042,Peptic Ulcer Perforation,
5043,Etp All,
5044,Autosomal Recessive Polycystic Kidney (ARPKD),
5045,Kufor Rakeb Syndrome,
5046,Preterm,
5047,Calcific Aortic Valve Diasease,
5048,Progressive Multiple Sclerosis,
5049,Marker of Inflammation,
5050,Uterine Cancer,
5051,Lower respiratory tract neoplasms,
5052,Asthma aggravated,
5053,Refined diagnosis of different types of neonatal respiratory failure,
5054,"Paediatrics, Recurrent/refractory Ewing sarcoma",
5055,"Recurrent, metastatic HN cancer or primary cancer in patients with severe co-morbidities and/or which only regular treatment with extensive morbidity is available",
5056,Myeloid Metaplasia,
5057,Orthopedic Surgery,
5058,Advanced Chronic Heart Failure,
5059,Detrusor Muscle Hyperactivity,
5060,High Grade Glioma,
5061,Germ Cell Cancer,
5062,Ewing's Sarcoma (ES),
5063,Takotsubo Syndrome,
5064,Intraoperative Musculoskeletal Injury,
5065,Patient Reported Outcomes,
5066,"Children, Only",
5067,Primary Immunodeficiency Disease,
5068,Advanced or Metastatic NSCLS With Exon 20 Insertion Mutation,
5069,Large B-Cell Lymphoma,
5070,Immunomodulation,
5071,Sarcopenia,
5072,Diamond Blackfan Anemia,
5073,Pancreatic Neoplasm,
5074,Pancreatic Cancer Stage II,
5075,Pre-hypertension,
5076,Artificial Respiration,
5077,"GVHD, Chronic",
5078,Second Hand Tobacco Smoke,
5079,Neoadjuvant Treatment,
5080,Otitis Media,
5081,Vertebral Fracture,
5082,Elderly Lymphoma Patients,
5083,Covid19_rehabilitation,
5084,Osteosarcoma Metastatic,
5085,Procalcitonin,
5086,Proximal Humeral Fracture,
5087,PREDICTIVE BIOMARKERS,
5088,Video-assisted Thoracic Surgery,
5089,Disorders of Consciousness,
5090,Invasive Bacterial Diseases (IBD),
5091,Maculopathy,
5092,Prevention,
5093,Pancreatic adenocarcinoma metastatic,
5094,Facial palsy,
5095,Lung neoplasm NOS,
5096,Corona virus infection,
5097,Chronic mechanical neck pain,
5098,Critical illnessHemodynamic statusFluid responsiveness,
5099,Crohn's disease,
5100,Burkitt Lymphoma,
5101,Aortic Dissection,
5102,Unknown Primary Tumors,
5103,Non-invasive Ventilation,
5104,AB Variant Gangliosidosis GM2,
5105,"Cardiac Death, Sudden",
5106,Vertebral Artery Ischemia,
5107,Peyronie Disease,
5108,Gastrointestinal neoplasms malignant and unspecified,
5109,Non-small cell lung cancer metastatic,
5110,Clear cell renal cell carcinoma,
5111,"Basal cell carcinoma (any type): local, locally-advanced, metastatic",
5112,Burkitt's Lymphoma,
5113,Deformity of Limb,
5114,Intratracheal Ventilation,
5115,"Pediatrics, Osteosarcoma",
5116,Neuroblastic Tumors,
5117,Diffuse Large B-Cell,
5118,Narcolepsy,
5119,Hematocrit Anemia,
5120,NTRK1 Gene Translocation,
5121,Hematological Malignancy,
5122,HHV8-Related Malignant Neoplasm,
5123,Nerve Compression,
5124,TAM,
5125,Prevention of postoperative abdominal adhesions,
5126,Respiratory Failure,
5127,Renal Scars,
5128,Chronic Plaque Psoriasis,
5129,Documented Silent Ischemia,
5130,Acute Exacerbation of Chronic Obstructive Airways Disease,
5131,Non-Celiac Wheat Sensitivity,
5132,Depressive Symptoms,
5133,Invasive Aspergillosis,
5134,Internal Medicine,
5135,Non-allergic Rhinitis,
5136,Adhesive Small Bowell Occlusion,
5137,Colon Adenoma,
5138,Chronic Lymphoid Leukemia,
5139,Arthropathy of Knee,
5140,Bowel Preparation Solutions,
5141,Endometriosis Ovary,
5142,Neurogenic Bladder Dysfunction,
5143,Infant Development,
5144,Right Ventricular Pacing,
5145,Non-segmental Vitiligo (Both Active and Stable Vitiligo),
5146,Cancer of Kidney,
5147,Macular Edema Secondary to Retinal Vein Occlusion,
5148,VAP - Ventilator Associated Pneumonia,
5149,Adenocarcinoma gastric,
5150,Ovarian cancer,
5151,Neoplasm of thymus,
5152,Primary lateral sclerosis (PLS),
5153,Secondary (AA) Amyloidosis,
5154,Fracture,
5155,De Novo Coronary Lesions,
5156,Non-squamous Nonsmall Cell Neoplasm of Lung,
5157,Early Onset Neonatal Sepsis,
5158,Psychological Adaptation,
5159,Ewing Sarcoma Family of Tumors,
5160,Cerebral Autoregulation,
5161,Crystalloid Solutions,
5162,Rotator Cuff Tears,
5163,Blepharitis,
5164,Impacted Third Molar Tooth,
5165,Prurigo,
5166,Postoperative Delirium,
5167,Recurrent Aphthous Ulcer,
5168,Acute GVH disease,
5169,Caesarean delivery infant record,
5170,Nasal neoplasm,
5171,KRAS mutation,
5172,Palsy cerebral,
5173,COVID-19 prophylaxis,
5174,Actinic keratosis,
5175,Medication-related osteonecrosis of the jaws (MRONJ) in osteoporosis patients,
5176,Familial Hypercholesterolemia,
5177,Venous Stasis Ulcers,
5178,Chronic Myelogenous Leukemia,
5179,Liver Transplantation,
5180,Conditional Tibial Condyle or Plateau Fractures,
5181,Nodal Marginal Zone Lymphoma,
5182,Lymph Node Metastases,
5183,Acidosis,
5184,Anomaly,
5185,Haemophilia A with anti factor VIII,
5186,Squamous cell carcinoma of skin,
5187,Femoral artery stenosis,
5188,Atrophy skeletal muscle,
5189,SARS-CoV-2 infection,
5190,Cocaine use disorder (CUD),
5191,Endothelial Dysfunction,
5192,Treatment,
5193,"Bone Disease, Metabolic",
5194,Hypogonadotropic Hypogonadism,
5195,Symptoms and Signs,
5196,Hip Arthroplasty,
5197,Surgical Site Infection,
5198,Postoperative Respiratory Complication,
5199,Flat Feet,
5200,Sexual Function Disturbances,
5201,Sinusoidal Obstruction Syndrome,
5202,Cardiopulmonary Bypass,
5203,Magnetic Field Exposure,
5204,Diastolic Heart Failure,
5205,Older Patients,
5206,GBS Rectovaginal Colonization,
5207,Healthy Population,
5208,"Danlos Disease, Ehlers",
5209,Trachea,
5210,Prophylaxis against liver transplant rejection,
5211,Eosinophilic asthma,
5212,Acidosis lactic,
5213,Stroke survivors,
5214,Lymphoblastic Leukemia,
5215,ALI/ARDS Patients,
5216,Wegener's Granulomatosis,
5217,Pulmonary Edema,
5218,Mechanical Ventilation Complication,
5219,Adenoid Cystic Carcinomas of the Salivary Glands,
5220,Metastatic NSCLC,
5221,Pulmonary Complication,
5222,Gastro Esophageal Reflux,
5223,Superinfection,
5224,Multiple sclerosis,
5225,Postoperative analgesia,
5226,Haemangioma of skin,
5227,Stent Thrombosis,
5228,"Sarcoma, Osteogenic",
5229,Endometrioma,
5230,Hereditary AngioEdema,
5231,Stroke Rehabilitation,
5232,Dura Mater Nick Cut or Tear,
5233,Antibiotic Resistant Infection,
5234,Diverticular Disease,
5235,Tumor Lysis Syndrome,
5236,Wound Healing Disorder,
5237,Ketamine Toxicity,
5238,Satiety Response,
5239,Urothelial Carcinoma in Situ,
5240,GBM,
5241,Endodontics,
5242,Cutaneous T-Cell Lymphoma/Sezary Syndrome,
5243,Enteritis necroticans,
5244,Crohns,
5245,Hemodynamic InstabilityHypovolemia,
5246,Pre-term infant post-discharge nutrition and body composition,
5247,"Breast cancer, prostate cancer, lung cancer",
5248,Advanced Chondrosarcoma,
5249,MPN-associated Myelofibrosis,
5250,Chronic Low Back Pain,
5251,Cartilage or Osteochondral Defects in the Knee,
5252,Fibromyalgia Syndrome,
5253,Facioscapulohumeral Muscular Dystrophy,
5254,Epithelioid Hemangioma,
5255,Pain Syndrome,
5256,Ischem Heart Disease,
5257,Trisomy 21,
5258,Invasive Fungal Infections,
5259,COVID 19,
5260,Active Systemic Lupus Erythematosus,
5261,HHV8,
5262,Underdamping/Resonance Artifacts,
5263,Ulcerative Colitis Chronic,
5264,Metastatic Gastrointestinal Cancer,
5265,Early Treatment-Resistance,
5266,Mild Cognitive Impairment Due to Alzheimer's Disease,
5267,Myocardial ischaemia,
5268,Benign prostatic hypertrophy,
5269,Neuromuscular blockade reversal,
5270,Squamous Cell Cancer,
5271,Paroxysmal Atrioventricular Block,
5272,Adverse Effects,
5273,Quality of Hospital Care for Children,
5274,Placenta Previa,
5275,Emergency,
5276,Non-Hodgkin Lymphoma Transformed Recurrent,
5277,Anticoagulant Drugs,
5278,Acquired Hemophilia A,
5279,Acute Ischemia of Lower Limb,
5280,Chondroblastoma,
5281,Post-Op Complication,
5282,Dry Eye Disease With Severe Keratitis,
5283,BRAF Gene Rearrangement,
5284,Timing of Invasive Intracranial Pressure Monitoring,
5285,Castleman Disease,
5286,Brain Activity,
5287,Lifestyle,
5288,"Heart Defects, Congenital",
5289,Biomarker,
5290,"Alzheimer's Disease, Early Onset",
5291,Fallopian tube cancer stage III,
5292,"Diabetes Mellitus, Gestational",
5293,Palmar-Plantar Erythrodysesthesia Syndrome,
5294,Respiratory Distress Syndrome,
5295,Metastatic Liver Cancer,
5296,"Sarcoma, Ewing's",
5297,Gastric Neoplasm,
5298,Progesterone Receptor Negative Neoplasm,
5299,Connective and Soft Tissue Neoplasm,
5300,"Cancer, Breast",
5301,Macular Degeneration Advanced,
5302,Breast Cancer Lymphedema,
5303,Ischemic Leg,
5304,Epidermolysis Bullosa Dystrophica,
5305,Coronary Artery Occlusion,
5306,Hemoptysis,
5307,Apical Periodontitis,
5308,"Conduction Block, Atrioventricular",
5309,BRAF V600E,
5310,Hip Arthrosis,
5311,Aldosterone Disorder,
5312,Hydrogen Sulfide,
5313,Colon cancer metastatic,
5314,Malignant melanoma,
5315,Colorectal cancer metastatic,
5316,Decompensation cardiac,
5317,Retinopathy of prematurity,
5318,Basedows disease,
5319,Chronic Eosinophilic Leukemia,
5320,Pacemaker Implantation,
5321,External Causes of Morbidity and Mortality,
5322,Metastatic Breastcancer,
5323,Sleep,
5324,Heartfailure,
5325,Ventilator-Associated Pneumonia,
5326,Primary Immunodeficiency,
5327,Surgical Staplers,
5328,Arthritis Juvenile Idiopathic,
5329,Drug Eluting Stent,
5330,Acute Brain Injury,
5331,Weaning Failure,
5332,Duodenal Neoplasms,
5333,Twisted Fallopian Tube,
5334,Epidermolysis Bullosa Simplex,
5335,Acquired Brain Injury,
5336,Heart,
5337,Resectable Pancreatic Adenocarcinoma,
5338,Behavioral and Psychiatric Symptoms of Dementia,
5339,Postnatal blues,
5340,Colorectal cancer stage IV,
5341,Hypertension arterial,
5342,"Bone, calcium, magnesium and phosphorus metabolism disorders",
5343,COVID-19 (SARS-CoV-2 infection),
5344,Non diabetic patients receiving kidney transplants,
5345,Hyperhomocysteinemia,
5346,Meningococcal Disease,
5347,Intensive Care Patients Invasively Ventilated,
5348,Child,
5349,Polyp of Large Intestine,
5350,Graves' Disease,
5351,Urticaria,
5352,Cataract Extraction,
5353,Chondroma,
5354,GERD,
5355,Femoral Neck Fractures,
5356,Pressure Ulcer Risk,
5357,Cataract Senile,
5358,Cardiac Rehabilitation,
5359,Dual Antiplatelet Therapy,
5360,Lung infection,
5361,Pulmonary Fibrosis,
5362,"Congestive Heart Failure, Atrial Fibrillation",
5363,Hyperalgesia,
5364,Hip Osteoarthritis,
5365,Thrombosis,
5366,Soft Tissue Neoplasm,
5367,Diaphragm,
5368,Disability,
5369,Bronchiectasis Adult,
5370,Gastric Tube Placement,
5371,Pectus Carinatum,
5372,Upper Extremity Paresis,
5373,Cervicovaginitis,
5374,Thrombo Angiitis Obliterans,
5375,Spine Disease,
5376,Anterior Cruciate Ligament Tear,
5377,Macular Edema of Right Retina (Diagnosis),
5378,Pain Postoperative,
5379,"Pregnancy, puerperium and perinatal conditions",
5380,Lymphoma malignant,
5381,Neonatal and perinatal conditions,
5382,Phlebitis,
5383,Human Immunodeficiency Virus,
5384,Scoliosis,
5385,"Malignant Melanoma, Skin",
5386,Pancreatic Masses,
5387,Arterial Occlusive Diseases,
5388,Diabetes Mellitus Type 2 Platelets Reactivity Statin,
5389,Vascular Cognitive Impairment,
5390,Familial Hyperlipoproteinemia Type 1,
5391,Knee Disease,
5392,Melatonin,
5393,"Enterocolitis, Necrotizing",
5394,Gram-negative Bacteraemia,
5395,Keloid,
5396,Woodhouse Sakati Syndrome,
5397,Breast Haematoma,
5398,Primary,
5399,Neurodevelopmental Disorders,
5400,Peritoneal carcinoma,
5401,Immunocompromised,
5402,"Retinopathy of prematurity (ROP), the leading cause of blindness in children",
5403,Benign Prostatic Hyperplasia,
5404,Coronary Artery Restenosis,
5405,Thrombotic Microangiopathy,
5406,Chronic Renal Anemia,
5407,Hereditary Angioedema,
5408,Not-celiac Gluten (Wheat) Sensitivity,
5409,External Cephalic Version,
5410,Acute Abdomen,
5411,End Stage Liver Diseases,
5412,Late Onset Neonatal Sepsis,
5413,Hyperuricemia,
5414,Chronic Rhinosinusitis (Diagnosis),
5415,Preterm Labor With Preterm Delivery,
5416,Consumer Preference,
5417,Locally Advanced Head and Neck Squamous Cell Carcinoma,
5418,Anorectal therapeutic procedures,
5419,Tidal Volume Challenge Hypovolemia Hemodynamic Instability Anesthesia Neurosurgeryfluid responsiveness tidal volume challenge fluid responsivenessstroke volume variation pulse pressure variation,
5420,"Arthritis, Juvenile Rheumatoid",
5421,Bariatric Surgery,
5422,Acute Promyelocytic Leukemia,
5423,Stable Coronary Disease,
5424,Suspected Arterial Hypertension,
5425,Chronic Hypercapnic Respiratory Failure,
5426,Melanoma Metastatic,
5427,Ventricular Fibrillation Sustained,
5428,"Cardiac Output, Low",
5429,Diastolic Dysfunction,
5430,Female Genital Mutilation Type I Status,
5431,Primary Cardiac Lymphoma,
5432,Natural menopause,
5433,Juvenile idiopathic arthritis,
