,AHC,Sponsors/Collaborators,Number of Collaborations
10551,Federico II,ASST Cremona,1
10552,Federico II,California Dermatology Institute,1
10553,Federico II,Shamir Medical Center (Asaf Harofe)-Pediatric Endocrinology Unit,1
10554,Federico II,University of Tennessee at Knoxville,1
10555,Federico II,Hermitage Medical Clinic /ID# 239556,1
10556,Federico II,Martha Morehouse Medical Plaza,1
10557,Federico II,The Municipal Enterprise Volyn Regional Medical Oncology Centre ( Site 2362),1
10558,Federico II,CHRU Hopital du bocage,1
10559,Federico II,Circuit Clinical,1
10560,Federico II,Korle Bu Teaching Hospital,1
10561,Federico II,Care Access - Tampa,1
10562,Federico II,Citizen Hospital,1
10563,Federico II,Southwest Houston Research Ltd,1
10564,Federico II,MediSearch Clinical Trials,1
10565,Federico II,Synergy Clinical Research of Escondido,1
10566,Federico II,Schiff Center for Liver Diseases,1
10567,Federico II,"Fakultní nemocnice u sv. Anny Brno, RS Centrum",1
10568,Federico II,Gynäkologie,1
10569,Federico II,Norton Heart Specialists,1
10570,Federico II,Centro Oncologico Riojano Integral,1
10571,Federico II,"Regional Cancer Center, Thiruvananthapuram",1
10572,Federico II,Klinika Hematologii Nowotworów Krwi i Transplantacji Szpiku,1
10573,Federico II,"Die Fachaerzte im Rottal - Nephrologie, Rheumatologie /ID# 223866",1
10574,Federico II,ClinMedica Research Sp.z o.o.,1
10575,Federico II,Hakuyokai Kashiwado Hospital,1
10576,Federico II,C.E.C.-Centro Especializado em Cardiologia Ltda.- Loema Medicina e Bem Estar,1
10577,Federico II,Central Moscow Regional Clinical Psychiatric Hospital,1
10578,Federico II,N. Osp. divisione di Ematologia 'S.Gerardo dei Tintori!',1
10579,Federico II,Duplicate_Institutul National de Boli Infectioase Prof. Dr. Matei Bals /ID# 131120,1
10580,Federico II,Chris Hani Baragwanath Hospital,1
10581,Federico II,HCG Cancer Centre,1
10582,Federico II,Centre Hospitalier de Lens,1
10583,Federico II,RM Pharma Specialists S.A de C.V. /ID# 224359,1
10584,Federico II,Hopital prive du Confluent ( Site 2061),1
10585,Federico II,Investigacion Onco Farmaceutica S de RL de CV ( Site 1127),1
10586,Federico II,Arkhangelsk Clinical Oncological Dispensary ( Site 2637),1
10587,Federico II,Radomskie Centrum Onkologii im. Bohaterow Radomskiego Czerwca 76,1
10588,Federico II,"Charter Research, LLC",1
10589,Federico II,CHU NIMES - Hopital Caremeau /ID# 230351,1
10590,Federico II,CeCim Biocinetic,1
10591,Federico II,CentrodeInvestigaciónenReumatologíayEspecialidadesMédicas,1
10592,Federico II,Centro Medico Dra. Laura Maffei - Investigacion Clinica Aplicada,1
10593,Federico II,Wojewodzki Szpital im. Sw. Ojcia Pio w Przemyslu,1
10594,Federico II,Bone Spine Sports/Medctr One /ID# 21962,1
10595,Federico II,Terumo (United States),1
10596,Federico II,Recherche GCP Research,1
10597,Federico II,Hospital Comarcal de Barbanza,1
10598,Federico II,Laikon University Hospital,1
10599,Federico II,Sarah Cannon Research Institute SCRI,1
10600,Federico II,Zucker Hillside Hospital,1
10601,Federico II,Woden Dermatology /ID# 205799,1
10602,Federico II,West Tennessee Research Institute /ID# 166429,1
10603,Federico II,Centre Hospitalier de Cornouaille,1
10604,Federico II,"MHAT - Shumen, AD",1
10605,Federico II,Cabinet medical /ID# 225366,1
10606,Federico II,Unviversitatsklinikum Aachen,1
10607,Federico II,Instituto Catalan de Oncologia (ICO) L'Hospitalet /ID# 228107,1
10608,Federico II,American Hlth Ntwk of IN LLC,1
10609,Federico II,Centro de Diag. e Pesquisa da Osteoporose do Espírito Santo,1
10610,Federico II,Shri Mahant Indiresh Hospital,1
10611,Federico II,Klinikum Leverkusen,1
10612,Federico II,MHI City Clinical Hospital #2 named after V.I. Razumovsky,1
10613,Federico II,Hôpital Mustapha Pacha,1
10614,Federico II,Samodzielny Publiczny Szpital Kliniczny Nr 1 w Lublinie /ID# 131115,1
10615,Federico II,Aulss 8 Berica - Ospedale Di Vicenza - Uoc Ematologia,1
10616,Federico II,Desarrollo Ético en Investigación Clínica S.C .,1
10617,Federico II,AUSL 4,1
10618,Federico II,Urological Dept,1
10619,Federico II,Krankenhaus Der Barmherzigen Brüder Graz,1
10620,Federico II,A. O. Città della Salute e della Scienza,1
10621,Federico II,Lowcountry Center for Veterans Research,1
10622,Federico II,Sanford Research,1
10623,Federico II,Southlake Regional Health Center,1
10624,Federico II,Kusatsu General Hospital,1
10625,Federico II,"Medical Care and Research, S.A. de C.V.",1
10626,Federico II,Poltava Regional Clinical Oncological Dispensary,1
10627,Federico II,Kalispell Regional Healthcare,1
10628,Federico II,Wojewódzkie Wielospecjalistyczne Centrum Onkologii i Traumatologii im. M. Kopernika w Łodzi,1
10629,Federico II,Ospedale Policlinico S. Martino,1
10630,Federico II,Central Alabama Research,1
10631,Federico II,"Accelerium, S. de R.L. de C.V.",1
10632,Federico II,Northwestern Memorial Hospital,1
10633,Federico II,Onassis Cardiac Surgery Center,1
10634,Federico II,Mount Sinai Cancer Center,1
10635,Federico II,Kinashi Obayashi Hospital,1
10636,Federico II,General University Hospital of Thessaloniki AXEPA /ID# 226630,1
10637,Federico II,Murdoch Children's Research Institute,1
10638,Federico II,Centrum Neuropsychiatrii NEUROMED SP ZOZ,1
10639,Federico II,Hospital Santiago de Compostela,1
10640,Federico II,Divisione di Oncologia Medica Ospedale Pierfortunato Calvi,1
10641,Federico II,Hepato-Gastroenterology Center Kiel,1
10642,Federico II,University of Birmingham,1
10643,Federico II,CHU Tours Hopital Trousseau,1
10644,Federico II,CoxHealth,1
10645,Federico II,Manuel Monreal,1
10646,Federico II,SC3 Research - Pasadena,1
10647,Federico II,Samara Regional Clinical Oncology Dispensary,1
10648,Federico II,"Integrated Dermatology of Massachusetts, LLC /ID# 209468",1
10649,Federico II,Wiseman Dermatology Research /ID# 200323,1
10650,Federico II,Spitalul Filantropia - Craiova,1
10651,Federico II,Janeway Children's Health and Rehabilitation Centre,1
10652,Federico II,Republican hospital named after V.A. Baranov /ID# 227661,1
10653,Federico II,Nathalie Saint-Pierre,1
10654,Federico II,Instituto de Investigaciones Clinicas Mar del Plata ( Site 1003),1
10655,Federico II,Eskişehir City Hospital,1
10656,Federico II,"Clinica Instituto Bahiano de Imunoterapia - Medicina, Reumatologia e Dermatologia ltda",1
10657,Federico II,Ascension St. Vincent's Health System,1
10658,Federico II,Captiol Cardiology Associates,1
10659,Federico II,Centre de Lutte Contre le Cancer Nantes-Atlantique Centre René Gauducheau,1
10660,Federico II,Northern Care Alliance NHS Group /ID# 131156,1
10661,Federico II,Walter Reed National Military Medical Center,1
10662,Federico II,"Digestive Health Specialists, PA",1
10663,Federico II,Recherche Clinique Sigma Inc,1
10664,Federico II,"Asl Della Provincia Di Barletta, Andria, Trani, Ospedale 'Mons. Dimiccoli' - Barletta - Uo Ematologia",1
10665,Federico II,Southwest Washington Medical Center,1
10666,Federico II,Sanford Health Bemidji,1
10667,Federico II,Narodowy Instytut Onkologii im. M.Sklodowskiej-Curie,1
10668,Federico II,Pilgrim Hospital,1
10669,Federico II,Azienda Ospedaliera S.Anna e S.Sebastiano,1
10670,Federico II,Clinical Research Consortium,1
10671,Federico II,Russian Children's Clinical Hospital,1
10672,Federico II,Communal Noncommercial Enterprise 'Cherkasy Regional Hospital of Cherkasy Regional Council',1
10673,Federico II,"Lake Charles Clinical Trials, LLC",1
10674,Federico II,Krankenhaus Nordwest,1
10675,Federico II,Mohammed V University,1
10676,Federico II,Hospital General de Niños Ricardo Gutierrez,1
10677,Federico II,Funabashi Municipal Medical Center,1
10678,Federico II,Japanese Red Cross Hamamatsu Hospital,1
10679,Federico II,Klinikum Mutterhaus der Borromäerinnen,1
10680,Federico II,Krankenhaus Nord - Klinik Floridsdorf,1
10681,Federico II,Nicolaus Copernicus Hospital,1
10682,Federico II,Helen Joseph Hospital,1
10683,Federico II,AmBeNet GmbH,1
10684,Federico II,Clinical Research Investments,1
10685,Federico II,Maria M Ona MD PC,1
10686,Federico II,Ospedale 'Antonio Perrino',1
10687,Federico II,St. Barnabas Ambulatory Care /ID# 21025,1
10688,Federico II,Duplicate_NHS Tayside /ID# 132300,1
10689,Federico II,GIRI - GI Research Institute,1
10690,Federico II,"DiaGolfova s.r.o., Department Diabetology, Prague",1
10691,Federico II,"Zemgales Center of diabetes, Jelgava",1
10692,Federico II,Commonwealth Clinical Studies PLLC,1
10693,Federico II,KH der Barmherzigen Bruder Linz,1
10694,Federico II,Fourth MHAT Sofia EAD,1
10695,Federico II,Communal Institution City Policlinic #20 Cabinet of Gastroenterology,1
10696,Federico II,Cardiology Associates of Northeast Arkansas,1
10697,Federico II,AZ.Osp S. Orsola - Malpighi-Reparto di Oncologia Medica,1
10698,Federico II,Advent Health Medical Group,1
10699,Federico II,Hospital General de Catalunya,1
10700,Federico II,UMHAT Alexandrovska EAD /ID# 201519,1
10701,Federico II,Acıbadem Adana Hospital,1
10702,Federico II,Altoona Ctr Clinical Res /ID# 166691,1
10703,Federico II,Centro per la Malattia di Parkinson e i Disturbi del Movimento,1
10704,Federico II,American Institute of Research,1
10705,Federico II,Clinica Universidad de Navarra-Madrid,1
10706,Federico II,START Mountain Region,1
10707,Federico II,Gesundheit Nord gGmbH (GeNo),1
10708,Federico II,Unidad Biomedica Avanzada Monterrey,1
10709,Federico II,Somnos Clinical Research,1
10710,Federico II,Quantum Research,1
10711,Federico II,Duke Cancer Center /ID# 22904,1
10712,Federico II,Ospedale di Rilievo Nazionale 'A. Cardarelli',1
10713,Federico II,Ospedale Civile di Venezia,1
10714,Federico II,Diabetes Care Centre,1
10715,Federico II,Hospital Universitario del Vinalopó,1
10716,Federico II,Sumsung medical center,1
10717,Federico II,NCCA- National Cancer Care Alliance,1
10718,Federico II,Sweet Hope Research Specialty Inc /ID# 168163,1
10719,Federico II,Reuma Clinic,1
10720,Federico II,Organizacion Medica de Investigacion (OMI) /ID# 222187,1
10721,Federico II,Fundação do ABC,1
10722,Federico II,Auckland District Health Board,1
10723,Federico II,Revmatologicka Ambulance,1
10724,Federico II,Beacon Clinical Research,1
10725,Federico II,Viacar Recherche Clinique Inc.,1
10726,Federico II,Athens General Childrens Hospital Panagioti And Aglaia Kyriakou,1
10727,Federico II,Parkway Cardiology Associates PC,1
10728,Federico II,Johese Clinical Research,1
10729,Federico II,Clinical Projects Research SA (PTY) LTD,1
10730,Federico II,General Hospital of Thessaloniki Agios Pavlos,1
10731,Federico II,Catalina Pointe Clinical Research /ID# 40227,1
10732,Federico II,Central Clinical Hospital of Civil Aviation,1
10733,Federico II,Mental Health Research Center of Russian Academy of Medical Sciences,1
10734,Federico II,Fresno Clinical Research Center,1
10735,Federico II,"Southern Therapy and Advanced Research, LLC",1
10736,Federico II,Mazso-Pharma Kutatas-fejlesztesi Kft,1
10737,Federico II,Yeditepe University,1
10738,Federico II,Asociacion IPS Medicos Internistas de Caldas,1
10739,Federico II,Consultorio Centro Hemato Oncologico Privado,1
10740,Federico II,GlaxoSmithKline (Australia),1
10741,Federico II,West Middlesex University Hospital,1
10742,Federico II,"VanMeter Pediatric Endocrinology, P.C.",1
10743,Federico II,Peninsula and South Eastern Haematology and Oncology Group,1
10744,Federico II,Clover Hospital,1
10745,Federico II,Centro Investigación del Cáncer James Lind ( Site 1061),1
10746,Federico II,Local Institution - 716,1
10747,Federico II,Wojewódzki Szpital Specjalistyczny im. M. Kopernika w Lodzi,1
10748,Federico II,Universität Hamburg,1
10749,Federico II,"CCR Prague, s.r.o",1
10750,Federico II,"Pan American Center for Oncology Trials, LLC /ID# 230055",1
10751,Federico II,VA Medical Center_Salem,1
10752,Federico II,Dermatology and Aesthetics of Oklahoma,1
10753,Federico II,"Department of Clinical Sciences and Community Health, Fondazione Istituto di Ricovero e Cura a Carattere Scientifico Cà Granda Ospedale Maggiore Policlinico, University of Milan",1
10754,Federico II,Legacy Emanuel Medical Center,1
10755,Federico II,Azienda Ospedaliera S. Giovanni Battista,1
10756,Federico II,Hospital General Universitario de Elda,1
10757,Federico II,"Gemeinschaftspraxis Dr. med. Joachim Springub / Wolfgang Schwarz, Studienzentrum Nord-West (Study Center)",1
10758,Federico II,Ospedale di Bergamo,1
10759,Federico II,Oncologia Medica Prima,1
10760,Federico II,"Biopharma Informatic, Inc. Research Center",1
10761,Federico II,Sansum Medical Clinic,1
10762,Federico II,US Oncology Network,1
10763,Federico II,Ural Research Institute of dermatovenerology and immunopathology /ID# 201593,1
10764,Federico II,Szpital Kliniczny im.Heliodora Swiecickiego Uniwersytetu Medycznego im.K. Marcinkowskiego w Poznaniu - Dept of Neurology,1
10765,Federico II,Universidade São Francisco,1
10766,Federico II,Centre Intégré de Santé et de Services Sociaux des Laurentides,1
10767,Federico II,MNPE 'Prykarpatski Clinical Oncological Center' of Ivano-Frankivsk Regional Council',1
10768,Federico II,"UMHAT Prof. Dr. Stoyan Kirkovich AD, Clinic of Cardiology",1
10769,Federico II,"Inland Rheumatology Clinical Trials, Inc.",1
10770,Federico II,Austin Regional Clinic,1
10771,Federico II,Specified Med.Corp.Watanabeigakukai Sakurabashi Watanabe Hp.,1
10772,Federico II,Prof Rayner,1
10773,Federico II,Centro de Alta Resolución de Procesos Asistenciales (C.A.R.P.A.),1
10774,Federico II,CI City Clinical Hospital #6 Dept of Gastroenterology,1
10775,Federico II,Sylvester Comprehensive Cent.,1
10776,Federico II,Sanford Health Bismarck,1
10777,Federico II,Kyiv Territorial Medical Incorporation 'Psychiatry',1
10778,Federico II,Arthritis & Osteo Medical Ctr /ID# 166541,1
10779,Federico II,"NZOZ 'NEURO-KARD', 'Ilkowski i Partnerzy' Sp. Partn. Lek.",1
10780,Federico II,HCA Midwest Health Kansas City,1
10781,Federico II,Samara Regional Clinical Hospital n.a. V. D. Seredavin /ID# 227852,1
10782,Federico II,"ASL-1 Imperiese, Sanremo",1
10783,Federico II,BRCR Global (United States),1
10784,Federico II,Institue of Oncology Vojvodine Sremska Kamenica (Oncology Institute of Volvodina),1
10785,Federico II,Instituto de Investigaciones Clinicas,1
10786,Federico II,Ctr de méd métab de Lanaudière,1
10787,Federico II,AppleTreeClinics Network Spzoo,1
10788,Federico II,Neuro NEO Oy,1
10789,Federico II,Ospedale Treviglio - Caravaggio,1
10790,Federico II,"Nordsjallands Hospital, Frederikssund",1
10791,Federico II,"Endeavor Clinical Trials, PA",1
10792,Federico II,Centre for Studies in Family Medicine,1
10793,Federico II,"Satakunnan Diabetesasema, Pori",1
10794,Federico II,Federal University of Rio de Janeiro,1
10795,Federico II,Ospedale Antonio Perrino,1
10796,Federico II,Hospital 'Dr. José Maria Cullen',1
10797,Federico II,"Azienda Ospedaliere Antonio Cardarelli,",1
10798,Federico II,Klinika Nowtw.Piersi i Chir.Rekonstr,1
10799,Federico II,Languedoc Mutualité,1
10800,Federico II,Ospedale San Giovanni Bosco /ID# 228552,1
10801,Federico II,Private Healthcare Institution 'Clinical Hospital 'RZD-Medicine' of St. Petersburg,1
10802,Federico II,St. Franziskus Hospital,1
10803,Federico II,APRILLUS Asistencia e Investigacion,1
10804,Federico II,Klinik Landstrasse,1
10805,Federico II,Carolina Health Specialists,1
10806,Federico II,AKK Medical Spolka z ograniczona odpowiedzialnoscia Centrum Medyczne Tu sie leczy,1
10807,Federico II,Parkinson's Disease and Movement Disorders Cente at University of Pennyslvania,1
10808,Federico II,CIC Toulouse,1
10809,Federico II,A.O. Universitaria Ospedali Riuniti Osp. Umberto I,1
10810,Federico II,Asst Degli Spedali Civili Di Brescia,1
10811,Federico II,Clinical Infectious Diseases Hospital #1 /ID# 132272,1
10812,Federico II,Hospital Can Misses,1
10813,Federico II,Ao Citta' Della Salute E Della Scienza D- Osp.S. Giov.Battista Molinette,1
10814,Federico II,DN Greenwald Center,1
10815,Federico II,IRCCS S. Raffaele,1
10816,Federico II,Medicus Services Ltd.,1
10817,Federico II,Francis Hospital,1
10818,Federico II,Hospital Madrid Norte Sanchinarro,1
10819,Federico II,Moscow Scientific Practical Center of Dermatology Venerology and Cosmetology,1
10820,Federico II,Hospital Angeles Puebla,1
10821,Federico II,Strada Patient Care Center,1
10822,Federico II,Lapis Clinical Research,1
10823,Federico II,Centrum Medyczne PRATIA Chojnice (Pratia S.A.),1
10824,Federico II,Baotou Central Hospital,1
10825,Federico II,University Hospital Bristol and Weston NHS trust,1
10826,Federico II,Yeovil District Hospital,1
10827,Federico II,GITIL (GRUPPO ITALIANO TERAPIE INNOVATIVE NEI LINFOMI),1
10828,Federico II,Ocean Rheumatology,1
10829,Federico II,First Man Dept. and First Woman Dept.,1
10830,Federico II,Ospedale S. Giacomo Apostolo,1
10831,Federico II,Internistische Gemeinschaftspraxis f. Verdauungs- und Stoffwechselerkrankungen,1
10832,Federico II,Unità Operativa di Oncologia Giovanni Paolo II 'Vito Fazzi',1
10833,Federico II,Landeskrankenhaus Steyr,1
10834,Federico II,Oklahoma cancer specialist and research institute,1
10835,Federico II,Centro Polivalente de Asistencia e Inv. Clinica CER-San Juan,1
10836,Federico II,Kumamoto Shinto General hospital,1
10837,Federico II,St. Petersburg City Clinical Oncological Dispensary,1
10838,Federico II,"Szpital Specjalistyczny im. H. Klimontowicza, Oddzial Psychiatryczny",1
10839,Federico II,Genethon (France),1
10840,Federico II,Samodzielny Publiczny Szpital Kliniczny nr 1 w Lublinie,1
10841,Federico II,Eisai Trial Site #1,1
10842,Federico II,Moscow State Medical Stomatological University n.a. A.I. Evdokimov,1
10843,Federico II,Krankenhaus der Barmherzigen Brueder Trier /ID# 226927,1
10844,Federico II,I.E.U. Medical Point Hastanesi ( Site 2356),1
10845,Federico II,PPD Bioanalytical,1
10846,Federico II,"Kemri/Crdr, Siaya, Kemri Clinical Research Annex,",1
10847,Federico II,Centro de investigacion medica y reumatologia,1
10848,Federico II,MHAT 'Sveta Sofia' EOOD,1
10849,Federico II,Centro Medico Skinmed Spa,1
10850,Federico II,University of Missouri,1
10851,Federico II,UOC di Ematologia Generale P.O. S.Vincenzo,1
10852,Federico II,Instituto Metropolitano de Inv /ID# 132201,1
10853,Federico II,Linköping University,1
10854,Federico II,Ipswich Hospital,1
10855,Federico II,Gastroentero-Hepatologicke centrum THALION,1
10856,Federico II,Ospedale Di Sassuolo Spa - Ematologia,1
10857,Federico II,Dr CCM Ziady Practice,1
10858,Federico II,Toledo Hospital,1
10859,Federico II,Presidio Ospedaliero Santa Maria Delle Grazie,1
10860,Federico II,Fort Wayne Neurological Center - North Office,1
10861,Federico II,Advocate Health Care,1
10862,Federico II,Corintez s.r.o.,1
10863,Federico II,"Katholisches Klinikum St. Hildegardiskrankenhaus, Mainz",1
10864,Federico II,St. Bernards Medical Center,1
10865,Federico II,LLC PiterKlinika,1
10866,Federico II,CPCLIN,1
10867,Federico II,Ulsam - Hosp. Conde de Bertiandos,1
10868,Federico II,Samara Regional Clinical Hospital Named After V.D.Seredavin,1
10869,Federico II,Policlinico Vittorio Emanuele,1
10870,Federico II,Praxis Dr. Haas /ID# 225187,1
10871,Federico II,Medical School Famerp-HB-FUNFARME_Do not use - Duplicate facility,1
10872,Federico II,"PRECARPATHIAN NUCLEAR MEDICINE CENTER, Limited Liability Company",1
10873,Federico II,Dermoklinika Centrum Medyczne SC M Kierstan J Narbutt A Lesiak,1
10874,Federico II,Hillcrest Family Health Center,1
10875,Federico II,Herzzentrum Ludwigshafen,1
10876,Federico II,St-Petersburg State Healthcare Institution 'Municipal Hospital № 26',1
10877,Federico II,DDPDS Prof Dr Ivan Temkov EOOD,1
10878,Federico II,Arizona Liver Health,1
10879,Federico II,SBI of Healthcare of Leningrad region Clinical Interregional Hospital of Tosno,1
10880,Federico II,Viet Duc Hospital,1
10881,Federico II,"Monument Health Rapid City Hospital, Inc.",1
10882,Federico II,Klinikum Konstanz,1
10883,Federico II,Clinical Oncology Dispensary of Ministry of Health of Tatarstan,1
10884,Federico II,Pendlebury Research,1
10885,Federico II,sanatorio Allende,1
10886,Federico II,Hospital Quirón Salud Barcelona-Instituto Oncológico Baselga,1
10887,Federico II,Raffles Hospital,1
10888,Federico II,MediTrials /ID# 207815,1
10889,Federico II,Centrum Medyczne Reuma Park w Warszawie /ID# 210956,1
10890,Federico II,Solutions Through Advanced Research Inc,1
10891,Federico II,Klinik Haag i. OB,1
10892,Federico II,Narodowy Inst.Onkologii im.Sklodowskiej-Curie Panstw.Inst.Bad,1
10893,Federico II,Rheumatologische-Immunologische Praxis Templin /ID# 226924,1
10894,Federico II,Vanderbilt University,1
10895,Federico II,Edwards Lifesciences (United States),1
10896,Federico II,'MHAT 'Sveti Panteleimon' - Yambol' AD,1
10897,Federico II,Newcastle Private Hospital - 3302,1
10898,Federico II,Fukui Prefectural Hospital,1
10899,Federico II,Pr. Lo Coco,1
10900,Federico II,Presidio Ospedaliero Garibaldi-Nesima,1
10901,Federico II,Korenkai Minamitoyama Nakagawa Hospital,1
10902,Federico II,Ao Di Rilievo Nazionale E Di Alta Specialità 'San Giuseppe Moscati' - Avellino - Uoc Ematologia Con Unità Di Trapianto,1
10903,Federico II,Hamamatsu South Hospital,1
10904,Federico II,Neuro-Medic Janusz Zbrojkiewicz Poradnia Weilospecjalistyczna,1
10905,Federico II,"Dipartimento di scienze chirurgiche, Oncologiche e Gastroenterologiche",1
10906,Federico II,Weinberg CA Inst Franklin Sq,1
10907,Federico II,Methodist Hospital Foundation,1
10908,Federico II,Müllner Hauptstrabe 48,1
10909,Federico II,UMHAT 'Sveti Georgi'-Plovdiv,1
10910,Federico II,Fremantle Dermatology /ID# 205305,1
10911,Federico II,Pirogov Russian National Research Medical University,1
10912,Federico II,William Osler Health Sciences,1
10913,Federico II,Szpital Kliniczny im Ks Anny Mazowieckiej ( Site 2481),1
10914,Federico II,Local Institution - 816,1
10915,Federico II,Dijklander Ziekenhuis /ID# 248993,1
10916,Federico II,Axcess Medical Research,1
10917,Federico II,Hamilton Med Res Group,1
10918,Federico II,Lalitha Super Specialities Hospital,1
10919,Federico II,City Neurology Center Sibneuromed LLC,1
10920,Federico II,Sankeikai Nishigahara Hospital,1
10921,Federico II,UMHAT Sveti Ivan Rilski /ID# 131026,1
10922,Federico II,Azienda Ospedaliero-Universitaria di Ferrara-Arcispedale Sant Anna /ID# 131102,1
10923,Federico II,eStudy Site,1
10924,Federico II,"Independent Public Clin.Hosp.no1Lublin,Dep.Internal Diseases",1
10925,Federico II,"Medical Academy named after I. Mechnikov, St. Petersburg",1
10926,Federico II,Sentara Norfolk General Hospital,1
10927,Federico II,Hospital Erasto Gaertner,1
10928,Federico II,Bioclinic of Thessaloniki,1
10929,Federico II,University Clinical Centre of the Republic of Srpska /ID# 202666,1
10930,Federico II,Clinisalud del sur /ID# 218100,1
10931,Federico II,Amarillo Ctr for Clin Research /ID# 208340,1
10932,Federico II,West Texas Clinical Research /ID# 208155,1
10933,Federico II,Cabinet du Docteur Ruer-Mulard Mireille,1
10934,Federico II,Dél-pesti Centrumkórház - Országos Hematológiai és Infektológiai Intézet - Szent László Telephely,1
10935,Federico II,New York Cancer and Blood Specialists,1
10936,Federico II,Local Institution - 192,1
10937,Federico II,UCL SAINT LUC - UC Louvain,1
10938,Federico II,Medical Center 'Hera' EOOD,1
10939,Federico II,Dr. M. B. Jones,1
10940,Federico II,Evangelisches Krankenhaus Goettingen-Weende,1
10941,Federico II,Manna Research Mirabel,1
10942,Federico II,"Med Research, Inc.",1
10943,Federico II,Ospedale di Udine,1
10944,Federico II,Ospedale Civile San Giovanni Di Dio,1
10945,Federico II,Aou Di Parma - Sc Ematologia E Centro Trapianti Midollo Osseo,1
10946,Federico II,Ospedale Civile Santa Chiara,1
10947,Federico II,"Lycoming Internal Medicine, Inc",1
10948,Federico II,Universitätsklinik Marien Hospital Herne,1
10949,Federico II,Dominican Hospital,1
10950,Federico II,Soenderborg Sygehus,1
10951,Federico II,UMHAT Dr. Georgi Stranski EAD,1
10952,Federico II,"Dawes Fretzin, LLC /ID# 200366",1
10953,Federico II,Fundacion Hospital San Vicente de Paul - Rionegro /ID# 202043,1
10954,Federico II,Mosaic Dermatology,1
10955,Federico II,V.P. Komisarenko Institute of Endocrinology and Metabolism,1
10956,Federico II,Danish Dementia Research Centre,1
10957,Federico II,Hospital de Mérida /ID# 231826,1
10958,Federico II,Kosei General Hospital,1
10959,Federico II,Tokushukai Shonan Atsugi Hospital,1
10960,Federico II,"Optimal Research Sites, LLC",1
10961,Federico II,Policlinico Agostino Gemelli /ID# 131098,1
10962,Federico II,P.A. Herzen Oncological Inst.,1
10963,Federico II,"ASST Santi Paolo e Carlo, S.C. Malattie Infettive",1
10964,Federico II,"APG Research, LLC",1
10965,Federico II,Ctr de rech Clin de Laval,1
10966,Federico II,Sharp Healthcare - 1150,1
10967,Federico II,Palm Beach Dermatology Group,1
10968,Federico II,St. Luke's Cardiology Associates,1
10969,Federico II,CardioVasc HR,1
10970,Federico II,Sechenov University,1
10971,Federico II,A-Shine,1
10972,Federico II,Wojewodzki Specjalistyczny Szpital im. Dr WI. Bieganskiego,1
10973,Federico II,Clinical Applications Laboratories Inc,1
10974,Federico II,K. Permanente - San Fransisco,1
10975,Federico II,CardioColombia S.A.S.,1
10976,Federico II,Da Vinci Private Clinic,1
10977,Federico II,Clinipace Worldwide,1
10978,Federico II,Podilskyi Regional Center of Oncology,1
10979,Federico II,Rheum Assoc of Central FL /ID# 201629,1
10980,Federico II,Smolensk Regional Children's Clinical Hospital,1
10981,Federico II,Perth Radiological Clinic - Magnetic Resonance Centre,1
10982,Federico II,Chelyabinsk Regional Clinical Oncology Center,1
10983,Federico II,Local Institution - 551,1
10984,Federico II,Bærum Sykehus,1
10985,Federico II,Belinus BT,1
10986,Federico II,ICS Maugeri,1
10987,Federico II,Finger Lakes Clinical Research,1
10988,Federico II,State Budgetary Healthcare Institution Regional Clinical Hospital No 3,1
10989,Federico II,Angiocardiac Care of Texas,1
10990,Federico II,Saint Louis University Hospital,1
10991,Federico II,CIP - Centro Internacional de Pesquisa /ID# 169524,1
10992,Federico II,Tver Children's Clinical Hospital,1
10993,Federico II,Oncologianova GmbH - Gesellschaft für Innovationen in der Onkologie,1
10994,Federico II,Department of antitumor drug therapy,1
10995,Federico II,RCI Sumy Regional Clinical Oncological Dispensary,1
10996,Federico II,ELSAN - Clinique du Pont de Chaume /ID# 224898,1
10997,Federico II,ASST Grande Ospedale Metropolitano Niguarda /ID# 228807,1
10998,Federico II,Omsk Regional Clinic Hospital /ID# 232029,1
10999,Federico II,"Irvine Center for Clinical Research, Inc.",1
11000,Federico II,Intermountain Medical Center,1
11001,Federico II,Centre de radiologie Saint Louis,1
11002,Federico II,"Sunrise Medical Research, Inc.",1
11003,Federico II,Sanford Health,1
11004,Federico II,Azienda Ospedaliera Santi Antonio e Biagio e Cesare Arrigo,1
11005,Federico II,Staedtisches krankenhaus kiel,1
11006,Federico II,Clinique St Elisabeth Namur,1
11007,Federico II,Clinical Hospital #3,1
11008,Federico II,DENTRO DE CONDOMINIO SAN FRANCISCO,1
11009,Federico II,AOOR Villa Sofia Cervello - Presidio V. Cervello,1
11010,Federico II,Groupe Médical Spécialisé - Le Premium /ID# 223719,1
11011,Federico II,Dr Siyami Ersek Cardiothoracic Surgery Center,1
11012,Federico II,Malton Medical Research,1
11013,Federico II,Hospital Vithas Sevilla,1
11014,Federico II,The Diabetes Centre,1
11015,Federico II,Genesis Cancer and Blood Institute - 1123,1
11016,Federico II,AAMRC,1
11017,Federico II,Hospital San Martìn,1
11018,Federico II,GI Research & Associates /ID# 132169,1
11019,Federico II,UCL Saint-Luc - Hepatology Department,1
11020,Federico II,"Klinical Investigations Group, LLC",1
11021,Federico II,Centrul Medical Dr Negrisanu SRL,1
11022,Federico II,I.R.C.C.S. - Fondazione del Piemonte per l'Oncologia,1
